epoch,mAP,AP.5,AP.75,APs,APm,APl,AR1,AR10,AR100,ARs,ARm,ARl,box_loss,obj_loss,cls_loss,loss,lr_rate
37,0.0392,0.1123,0.0215,-1.0,0.0,0.0392,0.0925,0.1785,0.1848,-1.0,0.0,0.1849,0.0353,0.0076,0.0044,0.0473,0.007287
38,0.0388,0.1102,0.0205,-1.0,0.0,0.0388,0.104,0.1638,0.17,-1.0,0.0,0.17,0.034,0.0076,0.0041,0.0458,0.007157
39,0.05,0.1387,0.0238,-1.0,0.0,0.05,0.099,0.1867,0.1953,-1.0,0.0,0.1954,0.0335,0.0076,0.0039,0.045,0.007024
40,0.0551,0.1379,0.031,-1.0,0.0,0.0551,0.1001,0.2134,0.2196,-1.0,0.0,0.2197,0.0332,0.0076,0.0037,0.0445,0.006891
41,0.0469,0.1204,0.0294,-1.0,0.0,0.0469,0.1078,0.183,0.1957,-1.0,0.0,0.1958,0.0327,0.0076,0.0035,0.0438,0.006755
42,0.039,0.1173,0.0239,-1.0,0.0,0.039,0.0882,0.1976,0.2027,-1.0,0.0,0.2028,0.0321,0.0075,0.0033,0.0429,0.006619
43,0.0406,0.1125,0.0238,-1.0,0.0,0.0406,0.0894,0.1557,0.1606,-1.0,0.0,0.1607,0.0316,0.0075,0.0032,0.0423,0.006482
44,0.0463,0.1235,0.0242,-1.0,0.0,0.0463,0.0937,0.1896,0.2051,-1.0,0.0,0.2052,0.0309,0.0075,0.0027,0.0411,0.006343
45,0.0394,0.1029,0.0248,-1.0,0.0,0.0394,0.1054,0.2025,0.2158,-1.0,0.0,0.2159,0.0301,0.0074,0.0026,0.0401,0.006204
46,0.042,0.1068,0.0283,-1.0,0.0,0.042,0.1183,0.2058,0.2203,-1.0,0.0,0.2204,0.0294,0.0074,0.0024,0.0391,0.006064
47,0.0439,0.125,0.0218,-1.0,0.0,0.0439,0.0862,0.161,0.1687,-1.0,0.0,0.1688,0.0288,0.0073,0.0022,0.0384,0.005923
48,0.0437,0.1161,0.0261,-1.0,0.0,0.0437,0.0995,0.1935,0.2019,-1.0,0.0,0.202,0.0285,0.0072,0.0021,0.0379,0.005783
49,0.0438,0.123,0.0191,-1.0,0.0,0.0438,0.1133,0.186,0.1927,-1.0,0.0,0.1928,0.0278,0.0071,0.0018,0.0367,0.005641
50,0.0255,0.0775,0.0125,-1.0,0.0,0.0255,0.0996,0.2037,0.217,-1.0,0.0,0.2171,0.0273,0.007,0.0019,0.0362,0.0055
51,0.0548,0.1528,0.0261,-1.0,0.0,0.0548,0.1179,0.1969,0.2068,-1.0,0.0,0.2069,0.0268,0.0069,0.0017,0.0354,0.005359
52,0.0582,0.1553,0.0285,-1.0,0.0,0.0583,0.1228,0.2164,0.2249,-1.0,0.0,0.2251,0.0261,0.0068,0.0015,0.0344,0.005217
53,0.0486,0.1345,0.0231,-1.0,0.0,0.0486,0.117,0.2237,0.234,-1.0,0.0,0.2341,0.0256,0.0067,0.0013,0.0337,0.005077
54,0.027,0.0821,0.0116,-1.0,0.0,0.027,0.1149,0.199,0.2077,-1.0,0.0,0.2078,0.0248,0.0065,0.0012,0.0326,0.004936
55,0.038,0.1117,0.0173,-1.0,0.0,0.038,0.13,0.2395,0.2488,-1.0,0.0,0.2489,0.0241,0.0064,0.0011,0.0316,0.004796
56,0.0414,0.1191,0.0196,-1.0,0.0,0.0414,0.0852,0.1558,0.1614,-1.0,0.0,0.1615,0.0238,0.0062,0.0011,0.0311,0.004657
57,0.0436,0.1384,0.023,-1.0,0.0,0.0436,0.1262,0.227,0.2301,-1.0,0.0,0.2302,0.0229,0.006,0.001,0.0298,0.004518
58,0.0534,0.1467,0.0256,-1.0,0.0,0.0534,0.1107,0.1982,0.2222,-1.0,0.0,0.2223,0.0221,0.0058,0.0009,0.0288,0.004381
59,0.0409,0.1208,0.0204,-1.0,0.0,0.0409,0.0927,0.1647,0.1664,-1.0,0.0,0.1665,0.0217,0.0055,0.0009,0.0281,0.004245
60,0.0515,0.1431,0.0251,-1.0,0.0,0.0515,0.1276,0.2149,0.226,-1.0,0.0,0.2261,0.0214,0.0053,0.0008,0.0275,0.004109
61,0.0376,0.1186,0.0153,-1.0,0.0,0.0376,0.1147,0.198,0.2039,-1.0,0.0,0.204,0.0208,0.0052,0.0008,0.0268,0.003976
62,0.0449,0.1204,0.0233,-1.0,0.0,0.0449,0.127,0.2105,0.2148,-1.0,0.0,0.2149,0.0204,0.005,0.0007,0.0262,0.003843
63,0.0177,0.0549,0.0072,-1.0,0.0,0.0177,0.0986,0.1823,0.1917,-1.0,0.0,0.1918,0.0198,0.0049,0.0006,0.0253,0.003713
64,0.049,0.1413,0.0232,-1.0,0.0,0.049,0.1059,0.196,0.2005,-1.0,0.0,0.2006,0.0194,0.0047,0.0006,0.0248,0.003584
65,0.0448,0.1396,0.0169,-1.0,0.0,0.0448,0.1284,0.1968,0.2027,-1.0,0.0,0.2028,0.0187,0.0046,0.0006,0.0239,0.003457
66,0.0624,0.1813,0.0306,-1.0,0.0,0.0624,0.1295,0.231,0.2345,-1.0,0.0,0.2346,0.0184,0.0044,0.0006,0.0234,0.003332
67,0.0491,0.1483,0.0214,-1.0,0.0,0.0491,0.1158,0.1868,0.1898,-1.0,0.0,0.1899,0.018,0.0043,0.0005,0.0228,0.003209
68,0.0402,0.1224,0.0164,-1.0,0.0,0.0402,0.1048,0.1783,0.1823,-1.0,0.0,0.1824,0.0177,0.0042,0.0005,0.0224,0.003089
69,0.0495,0.1491,0.021,-1.0,0.0,0.0495,0.1105,0.1722,0.1763,-1.0,0.0,0.1764,0.0166,0.0041,0.0005,0.0212,0.002971
70,0.0488,0.1457,0.0253,-1.0,0.0,0.0488,0.1004,0.17,0.1725,-1.0,0.0,0.1726,0.0161,0.004,0.0004,0.0206,0.002855
